hlth_ins_syn_2_rate_8_07_6_08, hlth_ins_syn_1_no_8_07_6_08, hlth_insrnc_3_percent_6_01_6_01, area_code, hlth_insrnc_2_denom_6_01_6_01, hlth_insrnc_1_no_6_01_6_01, area_name, hlth_ins_syn_3_rrmse_8_07_6_08
39.6,4256.0,25.0794503179607,20110,15679.61,3932.36,"Alpine (S)",3.0
36.3,3574.0,33.6022810054304,20260,10693.53,3593.27,"Ararat (RC)",3.0
38.7,28147.0,50.2784762034124,20570,81278.04,40865.36,"Ballarat (C)",3.0
59.7,59547.0,58.350825050627,20660,113353.65,66142.79,"Banyule (C)",3.0
34.0,8288.0,31.2561180881157,20740,23710.43,7410.96,"Bass Coast (S)",3.0
43.7,14022.0,39.2975196375987,20830,34315.55,13485.16,"Baw Baw (S)",3.0
70.9,54445.0,72.9300986266569,20910,83874.89,61170.04,"Bayside (C)",3.0
39.3,4569.0,31.7587280850485,21010,12798.34,4064.59,"Benalla (RC)",3.0
71.9,96572.0,72.3710731202406,21110,148087.04,107172.18,"Boroondara (C)",3.0
32.1,46228.0,32.4138269320319,21180,152085.22,49296.64,"Brimbank (C)",3.0
33.7,1963.0,56.9380747060707,21270,6994.88,3982.75,"Buloke (S)",3.0
36.1,11085.0,41.8999470879583,21370,34585.7,14491.39,"Campaspe (S)",3.0
46.3,22133.0,44.7202101044693,21450,45459.29,20329.49,"Cardinia (S)",3.0
40.5,71952.0,40.4437841360174,21610,174423.54,70543.48,"Casey (C)",3.0
28.9,3098.0,29.9676667002794,21670,12296.92,3685.1,"Central Goldfields (S)",3.0
36.6,6388.0,42.0457043558366,21750,20060.67,8434.65,"Colac-Otway (S)",3.0
42.0,5815.0,38.7698529518761,21830,17867.62,6927.25,"Corangamite (S)",3.0
41.4,46394.0,38.0270492119971,21890,124493.83,47341.33,"Darebin (C)",3.0
33.7,12072.0,26.8807958627943,22110,36227.35,9738.2,"East Gippsland (S)",3.0
43.4,43390.0,43.6758478350892,22170,111976.67,48906.76,"Frankston (C)",3.0
35.7,3405.0,45.5272139392851,22250,11134.0,5069.0,"Gannawarra (S)",3.0
